named_celltype_T
"undefined, ribosomal-high"
"SFC, osteoblast"
"SFC, osteoblast-like, focus"
fibroblast
"fibroblast, tenocyte"
"myofibre, white, fg"
"myofibre, red, fg"
"undefined, rspo1+"
