ENSSSAG00000040332	adgrb3	Gene Expression
ENSSSAG00000052128	mdh1ab	Gene Expression
ENSSSAG00000120781	wdpcp	Gene Expression
ENSSSAG00000084388	ehbp1	Gene Expression
ENSSSAG00000056486	agpat4	Gene Expression
ENSSSAG00000056522	ENSSSAG00000056522	Gene Expression
ENSSSAG00000015656	ENSSSAG00000015656	Gene Expression
ENSSSAG00000091836	CNR1	Gene Expression
ENSSSAG00000048046	rsad2	Gene Expression
ENSSSAG00000008561	ENSSSAG00000008561	Gene Expression
ENSSSAG00000015918	ENSSSAG00000015918	Gene Expression
ENSSSAG00000015684	ENSSSAG00000015684	Gene Expression
ENSSSAG00000048071	rnf144aa	Gene Expression
ENSSSAG00000016007	ENSSSAG00000016007	Gene Expression
ENSSSAG00000115192	ENSSSAG00000115192	Gene Expression
ENSSSAG00000108184	ENSSSAG00000108184	Gene Expression
ENSSSAG00000056422	ENSSSAG00000056422	Gene Expression
ENSSSAG00000056432	ENSSSAG00000056432	Gene Expression
ENSSSAG00000070245	ENSSSAG00000070245	Gene Expression
ENSSSAG00000070251	rtn4ip1	Gene Expression
ENSSSAG00000088170	ENSSSAG00000088170	Gene Expression
ENSSSAG00000056052	asap2a	Gene Expression
ENSSSAG00000112412	ENSSSAG00000112412	Gene Expression
ENSSSAG00000111307	ENSSSAG00000111307	Gene Expression
ENSSSAG00000111497	ENSSSAG00000111497	Gene Expression
ENSSSAG00000110306	ENSSSAG00000110306	Gene Expression
ENSSSAG00000090427	ENSSSAG00000090427	Gene Expression
ENSSSAG00000093388	ENSSSAG00000093388	Gene Expression
ENSSSAG00000095985	ENSSSAG00000095985	Gene Expression
ENSSSAG00000000090	ENSSSAG00000000090	Gene Expression
ENSSSAG00000000083	TC2N	Gene Expression
ENSSSAG00000000069	ENSSSAG00000000069	Gene Expression
ENSSSAG00000119525	ENSSSAG00000119525	Gene Expression
ENSSSAG00000087243	ENSSSAG00000087243	Gene Expression
ENSSSAG00000000082	fbln5	Gene Expression
ENSSSAG00000108005	ENSSSAG00000108005	Gene Expression
ENSSSAG00000078409	ENSSSAG00000078409	Gene Expression
ENSSSAG00000077331	pnx	Gene Expression
ENSSSAG00000082402	ENSSSAG00000082402	Gene Expression
ENSSSAG00000081911	ENSSSAG00000081911	Gene Expression
ENSSSAG00000055921	ENSSSAG00000055921	Gene Expression
ENSSSAG00000053919	sav1	Gene Expression
ENSSSAG00000120666	s100z	Gene Expression
ENSSSAG00000083874	ENSSSAG00000083874	Gene Expression
ENSSSAG00000042732	ENSSSAG00000042732	Gene Expression
ENSSSAG00000082784	ENSSSAG00000082784	Gene Expression
ENSSSAG00000089033	crkl	Gene Expression
ENSSSAG00000108437	ENSSSAG00000108437	Gene Expression
ENSSSAG00000056816	dmac2l	Gene Expression
ENSSSAG00000000715	ENSSSAG00000000715	Gene Expression
ENSSSAG00000004026	si:ch211-282j22.3	Gene Expression
ENSSSAG00000009363	npffr1l1	Gene Expression
ENSSSAG00000056846	l2hgdh	Gene Expression
ENSSSAG00000006587	ENSSSAG00000006587	Gene Expression
ENSSSAG00000104476	prph2b	Gene Expression
ENSSSAG00000062552	ENSSSAG00000062552	Gene Expression
ENSSSAG00000006603	phs	Gene Expression
ENSSSAG00000069016	lhx3	Gene Expression
ENSSSAG00000008565	ENSSSAG00000008565	Gene Expression
ENSSSAG00000027035	ENSSSAG00000027035	Gene Expression
ENSSSAG00000118342	prlhr2b	Gene Expression
ENSSSAG00000008574	ptafr	Gene Expression
ENSSSAG00000101521	ptafr	Gene Expression
ENSSSAG00000008582	luzp1	Gene Expression
ENSSSAG00000103575	ENSSSAG00000103575	Gene Expression
ENSSSAG00000008598	kdm1a	Gene Expression
ENSSSAG00000008845	antxr1b	Gene Expression
ENSSSAG00000122235	slc31a2	Gene Expression
ENSSSAG00000006668	niban2a	Gene Expression
ENSSSAG00000000258	INPP5A	Gene Expression
ENSSSAG00000000434	stard7	Gene Expression
ENSSSAG00000005421	zmat5	Gene Expression
ENSSSAG00000000743	arvcfa	Gene Expression
ENSSSAG00000007898	stxbp1a	Gene Expression
ENSSSAG00000100813	tmem30b	Gene Expression
ENSSSAG00000006746	ENSSSAG00000006746	Gene Expression
ENSSSAG00000113451	ENSSSAG00000113451	Gene Expression
ENSSSAG00000068983	ENSSSAG00000068983	Gene Expression
ENSSSAG00000008822	rpl13a	Gene Expression
ENSSSAG00000072207	selu	Gene Expression
ENSSSAG00000040331	ENSSSAG00000040331	Gene Expression
ENSSSAG00000001861	KHDRBS2	Gene Expression
ENSSSAG00000002777	phf24	Gene Expression
ENSSSAG00000068594	ENSSSAG00000068594	Gene Expression
ENSSSAG00000000866	znf503	Gene Expression
ENSSSAG00000002567	gphb5	Gene Expression
ENSSSAG00000056956	lrmda	Gene Expression
ENSSSAG00000071695	opn6b	Gene Expression
ENSSSAG00000008676	ENSSSAG00000008676	Gene Expression
ENSSSAG00000063988	nfkbiab	Gene Expression
ENSSSAG00000073948	ENSSSAG00000073948	Gene Expression
ENSSSAG00000006881	enpp4	Gene Expression
ENSSSAG00000073946	ENSSSAG00000073946	Gene Expression
ENSSSAG00000102587	ptp4a2a	Gene Expression
ENSSSAG00000093051	ccdc85ca	Gene Expression
ENSSSAG00000066029	rufy2	Gene Expression
ENSSSAG00000103454	ENSSSAG00000103454	Gene Expression
ENSSSAG00000108676	ENSSSAG00000108676	Gene Expression
ENSSSAG00000092556	ENSSSAG00000092556	Gene Expression
ENSSSAG00000065930	sptbn5	Gene Expression
ENSSSAG00000002807	prkab1a	Gene Expression
ENSSSAG00000087843	eif4eb	Gene Expression
ENSSSAG00000097089	tescb	Gene Expression
ENSSSAG00000078916	otpa	Gene Expression
ENSSSAG00000078918	tbca	Gene Expression
ENSSSAG00000005560	ENSSSAG00000005560	Gene Expression
ENSSSAG00000090891	m17	Gene Expression
ENSSSAG00000088504	ENSSSAG00000088504	Gene Expression
ENSSSAG00000000701	cnksr1	Gene Expression
ENSSSAG00000045305	tbx3a	Gene Expression
ENSSSAG00000005477	ENSSSAG00000005477	Gene Expression
ENSSSAG00000065859	si:ch211-266o15.1	Gene Expression
ENSSSAG00000103858	rps6ka1	Gene Expression
ENSSSAG00000045578	ENSSSAG00000045578	Gene Expression
ENSSSAG00000001319	fam166b	Gene Expression
ENSSSAG00000065866	ENSSSAG00000065866	Gene Expression
ENSSSAG00000001325	ENSSSAG00000001325	Gene Expression
ENSSSAG00000065864	ENSSSAG00000065864	Gene Expression
ENSSSAG00000001690	fam98b	Gene Expression
ENSSSAG00000015081	ENSSSAG00000015081	Gene Expression
ENSSSAG00000001399	ENSSSAG00000001399	Gene Expression
ENSSSAG00000076969	npas3	Gene Expression
ENSSSAG00000102024	si:ch211-160f23.7	Gene Expression
ENSSSAG00000001786	ENSSSAG00000001786	Gene Expression
ENSSSAG00000005797	asap3	Gene Expression
ENSSSAG00000066841	hnrh3	Gene Expression
ENSSSAG00000080440	kmt5aa	Gene Expression
ENSSSAG00000054790	srp19	Gene Expression
ENSSSAG00000110550	ube2l3a	Gene Expression
ENSSSAG00000098146	PBLD	Gene Expression
ENSSSAG00000098455	F2RL2	Gene Expression
ENSSSAG00000077489	ENSSSAG00000077489	Gene Expression
ENSSSAG00000078421	f2rl1.1	Gene Expression
ENSSSAG00000078417	f2rl1.1	Gene Expression
ENSSSAG00000084722	f2rl1.1	Gene Expression
ENSSSAG00000078425	ch25hl2	Gene Expression
ENSSSAG00000082019	ftsj1	Gene Expression
ENSSSAG00000007561	ENSSSAG00000007561	Gene Expression
ENSSSAG00000111499	ENSSSAG00000111499	Gene Expression
ENSSSAG00000071661	ENSSSAG00000071661	Gene Expression
ENSSSAG00000000174	ckmt2	Gene Expression
ENSSSAG00000066912	dna2	Gene Expression
ENSSSAG00000008499	si:ch211-160f23.5	Gene Expression
ENSSSAG00000113624	ENSSSAG00000113624	Gene Expression
ENSSSAG00000085565	ENSSSAG00000085565	Gene Expression
ENSSSAG00000108152	fbxo34	Gene Expression
